,subject,stimulus,response,confidence,intensits,ppt
53,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.0,22.0,0
54,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.51,18.0,0
55,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.0,18.0,0
56,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,1.0,14.0,0
57,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,1.0,14.0,0
58,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.13,10.0,0
59,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.02,10.0,0
60,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.21,6.0,0
61,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.1,6.0,0
62,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.16,2.0,0
63,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.0,6.0,0
64,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.02,6.0,0
65,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,0.0,10.0,0
66,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.14,14.0,0
67,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.01,10.0,0
68,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.0,10.0,0
69,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.0,14.0,0
70,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.0,14.0,0
71,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.06,10.0,0
72,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.12,10.0,0
73,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.15,14.0,0
74,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.13,14.0,0
75,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.0,10.0,0
76,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.04,10.0,0
77,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.1,6.0,0
78,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.16,6.0,0
79,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.14,10.0,0
80,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,0.16,10.0,0
81,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.19,14.0,0
82,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.18,14.0,0
83,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.15,10.0,0
84,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.05,14.0,0
85,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.18,14.0,0
86,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,0.09,10.0,0
87,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.1,14.0,0
88,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,0.23,14.0,0
89,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,0.22,10.0,0
90,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,1.0,10.0,0
91,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,1.0,6.0,0
92,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.0,6.0,0
93,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,1.0,10.0,0
94,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,0.0,10.0,0
95,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,1.0,14.0,0
96,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,1.0,14.0,0
97,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,1.0,10.0,0
98,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,1.0,10.0,0
99,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,0.0,1.0,6.0,0
100,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,1.0,6.0,0
101,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,0.0,1.0,2.0,0
102,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,0.0,1.0,1.0,6.0,0
103,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,1.0,10.0,0
104,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,1.0,1.0,1.0,10.0,0
105,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.96,6.0,1
106,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,1.0,6.0,1
107,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,10.0,1
108,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,10.0,1
109,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,1.0,6.0,1
110,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,10.0,1
111,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,10.0,1
112,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,1.0,6.0,1
113,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,0.59,10.0,1
114,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,0.52,14.0,1
115,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,0.6,14.0,1
116,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.78,18.0,1
117,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,0.0,18.0,1
118,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.0,14.0,1
119,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,1.0,0.0,14.0,1
120,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,0.0,18.0,1
121,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.0,18.0,1
122,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,1.0,0.0,14.0,1
123,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,0.0,18.0,1
124,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,18.0,1
125,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,14.0,1
126,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,1.0,14.0,1
127,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,18.0,1
128,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.0,18.0,1
129,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,14.0,1
130,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,14.0,1
131,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.0,10.0,1
132,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,1.0,1.0,10.0,1
133,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.0,14.0,1
134,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,14.0,1
135,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,0.0,10.0,1
136,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,14.0,1
137,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,14.0,1
138,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,1.0,0.18,10.0,1
139,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.41,14.0,1
140,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,14.0,1
141,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,0.11,10.0,1
142,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.3,10.0,1
143,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,0.29,6.0,1
144,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,1.0,1.0,10.0,1
145,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.15,14.0,1
146,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,1.0,0.9,14.0,1
147,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,0.92,18.0,1
148,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,0.86,18.0,1
149,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,0.86,14.0,1
150,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.45,14.0,1
151,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.83,10.0,1
152,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.78,10.0,1
153,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,1.0,0.0,6.0,1
154,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,1.0,1.0,10.0,1
155,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,14.0,1
156,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,14.0,1
157,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,0.0,10.0,1
158,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,1.0,1.0,14.0,1
159,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,18.0,1
160,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,18.0,1
161,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,14.0,1
162,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,0.0,14.0,1
163,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,1.0,18.0,1
164,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,22.0,1
165,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,1.0,22.0,1
166,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,26.0,1
167,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.12,26.0,1
168,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,22.0,1
169,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.91,22.0,1
170,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,0.91,18.0,1
171,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,0.97,18.0,1
172,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,14.0,1
173,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,1.0,14.0,1
174,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,18.0,1
175,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,18.0,1
176,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,1.0,1.0,14.0,1
177,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,18.0,1
178,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,1.0,18.0,1
179,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,14.0,1
180,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,1.0,14.0,1
181,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,1.0,0.0,10.0,1
182,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,1.0,0.0,1.0,10.0,1
183,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,0.0,0.0,14.0,1
184,3949ac1596ec77106a709a618bf5adcb19b77537ce8bcbdf54ff830169cdd084,0.0,1.0,0.0,14.0,1
185,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.81,6.0,2
186,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.25,6.0,2
187,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.24,2.0,2
188,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,1.0,0.71,2.0,2
189,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.29,6.0,2
190,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.27,6.0,2
191,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.19,2.0,2
192,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,1.0,0.59,2.0,2
193,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.72,6.0,2
194,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.28,6.0,2
195,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,0.0,0.58,2.0,2
196,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,0.0,0.69,6.0,2
197,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,1.0,0.2,10.0,2
198,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.32,14.0,2
199,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.38,14.0,2
200,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,0.0,0.4,10.0,2
201,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.8,14.0,2
202,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,0.0,0.19,14.0,2
203,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.28,18.0,2
204,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.83,18.0,2
205,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.72,14.0,2
206,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.76,14.0,2
207,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.57,10.0,2
208,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.13,10.0,2
209,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.28,6.0,2
210,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.65,6.0,2
211,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.72,2.0,2
212,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,0.0,0.71,2.0,2
213,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.72,6.0,2
214,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.72,6.0,2
215,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,1.0,0.24,2.0,2
216,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.31,6.0,2
217,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.8,6.0,2
218,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,1.0,0.78,2.0,2
219,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.62,6.0,2
220,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.44,6.0,2
221,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,0.0,0.8,2.0,2
222,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,0.0,0.0,0.3,6.0,2
223,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.61,6.0,2
224,621cb5d0bdea9584dc9f7ede1479e7cca67f8d9778d7e3c8c5cb8aa9eaef47ef,1.0,1.0,0.69,2.0,2
