Unnamed: 0,stimulus_left,stimulus_right,reward_left,reward_right,ppt,trial,responses
65,2,4,0.0,0.0,1,66,0
66,3,1,0.0,1.0,1,67,1
67,1,2,1.0,0.0,1,68,1
68,2,1,0.0,1.0,1,69,1
69,1,3,1.0,0.0,1,70,0
70,1,4,0.0,1.0,1,71,0
71,3,4,0.0,0.0,1,72,1
72,4,2,0.0,0.0,1,73,1
73,3,4,1.0,0.0,1,74,1
74,4,1,1.0,1.0,1,75,1
75,1,4,1.0,0.0,1,76,1
76,1,2,1.0,1.0,1,77,1
77,4,2,0.0,0.0,1,78,1
78,4,3,0.0,1.0,1,79,0
79,4,3,0.0,1.0,1,80,0
80,3,1,0.0,1.0,1,81,0
81,4,2,0.0,1.0,1,82,1
82,1,3,1.0,0.0,1,83,1
83,1,2,1.0,0.0,1,84,1
84,2,3,0.0,1.0,1,85,1
85,3,1,0.0,1.0,1,86,1
86,4,1,0.0,1.0,1,87,1
87,3,1,0.0,0.0,1,88,0
88,2,1,0.0,1.0,1,89,1
89,4,3,0.0,1.0,1,90,0
90,3,1,1.0,1.0,1,91,0
91,2,3,0.0,1.0,1,92,0
92,2,4,0.0,0.0,1,93,1
93,2,4,0.0,0.0,1,94,0
94,3,2,1.0,1.0,1,95,1
95,4,2,0.0,1.0,1,96,0
96,4,1,0.0,1.0,1,97,0
97,4,1,0.0,1.0,1,98,0
98,4,2,0.0,1.0,1,99,0
99,4,3,0.0,0.0,1,100,1
100,1,2,1.0,1.0,1,101,0
101,4,1,0.0,1.0,1,102,1
102,3,4,1.0,0.0,1,103,1
103,4,1,0.0,1.0,1,104,1
104,1,4,1.0,0.0,1,105,0
105,2,3,0.0,1.0,1,106,0
106,3,2,0.0,0.0,1,107,1
107,3,4,0.0,0.0,1,108,1
108,1,3,1.0,1.0,1,109,1
109,1,4,1.0,1.0,1,110,0
110,1,3,1.0,0.0,1,111,1
111,4,3,0.0,1.0,1,112,1
112,2,4,0.0,0.0,1,113,0
113,2,4,0.0,0.0,1,114,1
114,3,2,1.0,0.0,1,115,1
115,2,1,0.0,0.0,1,116,1
116,1,3,0.0,1.0,1,117,0
117,3,1,0.0,0.0,1,118,0
118,1,4,1.0,0.0,1,119,0
119,3,1,1.0,1.0,1,120,0
120,4,3,0.0,0.0,2,1,1
121,4,3,0.0,0.0,2,2,1
122,4,2,0.0,1.0,2,3,1
123,2,3,0.0,1.0,2,4,1
124,3,4,0.0,0.0,2,5,0
125,3,4,0.0,0.0,2,6,1
126,4,3,0.0,1.0,2,7,1
127,1,2,1.0,1.0,2,8,1
128,4,2,0.0,1.0,2,9,1
129,2,1,0.0,0.0,2,10,1
130,4,2,0.0,0.0,2,11,1
131,2,3,0.0,1.0,2,12,1
132,1,2,1.0,0.0,2,13,1
133,4,1,0.0,1.0,2,14,0
134,2,4,0.0,0.0,2,15,0
135,4,2,0.0,1.0,2,16,1
136,4,3,0.0,1.0,2,17,1
137,2,1,0.0,1.0,2,18,1
138,4,1,0.0,1.0,2,19,0
139,1,3,1.0,0.0,2,20,0
140,3,4,1.0,0.0,2,21,0
141,1,4,0.0,1.0,2,22,0
142,4,1,0.0,1.0,2,23,1
143,4,1,0.0,0.0,2,24,1
144,3,2,1.0,1.0,2,25,1
145,3,2,0.0,0.0,2,26,1
146,3,1,1.0,1.0,2,27,1
147,2,1,0.0,1.0,2,28,1
148,1,2,1.0,0.0,2,29,0
149,3,2,1.0,0.0,2,30,0
150,2,3,0.0,1.0,2,31,1
151,4,2,0.0,0.0,2,32,0
152,3,1,1.0,1.0,2,33,0
153,4,1,0.0,0.0,2,34,1
154,3,4,1.0,0.0,2,35,0
155,1,4,1.0,0.0,2,36,1
156,1,4,1.0,1.0,2,37,0
157,2,4,0.0,0.0,2,38,0
158,2,4,0.0,0.0,2,39,0
159,3,2,1.0,1.0,2,40,0
160,1,2,1.0,1.0,2,41,0
161,2,3,0.0,1.0,2,42,1
162,3,4,0.0,0.0,2,43,0
163,4,3,0.0,1.0,2,44,0
164,3,4,0.0,0.0,2,45,1
165,1,3,1.0,0.0,2,46,0
166,2,3,0.0,0.0,2,47,1
167,1,3,1.0,0.0,2,48,0
168,1,4,1.0,1.0,2,49,0
169,2,3,0.0,0.0,2,50,1
170,3,1,0.0,1.0,2,51,1
171,2,4,0.0,0.0,2,52,0
172,3,1,0.0,1.0,2,53,1
173,4,3,0.0,1.0,2,54,1
174,4,2,0.0,0.0,2,55,0
175,4,2,0.0,1.0,2,56,1
176,3,2,1.0,0.0,2,57,0
177,1,3,1.0,1.0,2,58,0
178,3,1,1.0,1.0,2,59,1
179,2,3,0.0,1.0,2,60,0
180,2,4,0.0,0.0,2,61,0
181,1,4,1.0,0.0,2,62,0
182,2,4,0.0,0.0,2,63,0
183,1,3,0.0,1.0,2,64,1
184,2,1,0.0,1.0,2,65,1
185,4,2,0.0,0.0,2,66,0
186,2,1,0.0,0.0,2,67,1
187,1,3,0.0,1.0,2,68,0
188,3,1,0.0,1.0,2,69,0
189,2,4,0.0,0.0,2,70,0
190,2,1,0.0,1.0,2,71,1
191,3,4,0.0,0.0,2,72,0
192,2,1,0.0,1.0,2,73,0
193,1,2,1.0,1.0,2,74,0
194,3,1,0.0,0.0,2,75,1
195,3,4,0.0,0.0,2,76,0
196,4,1,1.0,1.0,2,77,0
197,3,2,0.0,0.0,2,78,0
198,3,1,1.0,1.0,2,79,1
199,1,4,1.0,0.0,2,80,0
200,1,3,1.0,0.0,2,81,0
201,4,3,0.0,0.0,2,82,0
202,2,1,0.0,1.0,2,83,1
203,2,3,0.0,0.0,2,84,1
204,3,4,1.0,0.0,2,85,1
205,4,2,0.0,0.0,2,86,0
206,4,3,0.0,1.0,2,87,1
207,3,4,1.0,0.0,2,88,0
208,1,4,0.0,0.0,2,89,0
209,1,2,1.0,1.0,2,90,1
210,4,2,0.0,0.0,2,91,1
211,2,1,0.0,1.0,2,92,1
212,3,2,0.0,0.0,2,93,1
213,3,2,1.0,1.0,2,94,1
214,2,3,0.0,0.0,2,95,1
215,1,4,1.0,0.0,2,96,1
216,2,4,0.0,0.0,2,97,0
217,1,2,1.0,0.0,2,98,0
218,1,2,1.0,0.0,2,99,0
219,4,1,0.0,1.0,2,100,1
220,4,1,1.0,1.0,2,101,1
221,1,3,1.0,0.0,2,102,0
222,1,2,1.0,0.0,2,103,0
223,3,1,0.0,1.0,2,104,1
224,1,3,1.0,0.0,2,105,0
225,1,4,0.0,1.0,2,106,0
226,1,4,0.0,0.0,2,107,1
227,3,2,1.0,1.0,2,108,0
228,4,3,0.0,1.0,2,109,1
229,3,1,0.0,0.0,2,110,0
230,1,3,1.0,1.0,2,111,1
231,2,1,0.0,1.0,2,112,0
232,2,3,0.0,1.0,2,113,0
233,4,1,0.0,1.0,2,114,1
234,2,4,0.0,0.0,2,115,0
235,2,4,0.0,0.0,2,116,0
236,4,1,0.0,1.0,2,117,1
237,1,2,1.0,0.0,2,118,0
238,3,2,0.0,0.0,2,119,1
239,4,3,0.0,0.0,2,120,0
240,4,2,0.0,0.0,3,1,1
241,1,2,1.0,1.0,3,2,1
242,2,4,0.0,0.0,3,3,0
243,4,3,0.0,1.0,3,4,1
244,4,2,0.0,0.0,3,5,1
245,3,4,1.0,0.0,3,6,0
246,3,1,0.0,0.0,3,7,1
247,1,3,1.0,0.0,3,8,0
248,4,3,0.0,0.0,3,9,1
249,3,1,0.0,1.0,3,10,0
250,2,1,0.0,1.0,3,11,0
251,3,4,0.0,0.0,3,12,0
252,2,1,0.0,1.0,3,13,0
253,1,2,1.0,0.0,3,14,1
254,4,3,0.0,0.0,3,15,0
255,3,1,1.0,1.0,3,16,1
256,1,4,1.0,0.0,3,17,0
257,3,2,0.0,0.0,3,18,0
258,4,1,0.0,1.0,3,19,0
259,1,2,1.0,1.0,3,20,0
260,3,2,1.0,0.0,3,21,1
261,4,2,0.0,1.0,3,22,0
262,2,4,0.0,0.0,3,23,1
263,4,2,0.0,0.0,3,24,0
264,4,1,0.0,1.0,3,25,0
265,4,2,0.0,0.0,3,26,0
266,2,4,0.0,0.0,3,27,1
267,1,2,1.0,0.0,3,28,0
268,4,1,0.0,1.0,3,29,1
269,2,3,0.0,1.0,3,30,1
270,1,3,1.0,1.0,3,31,0
271,2,3,0.0,1.0,3,32,1
272,2,1,0.0,1.0,3,33,1
273,1,2,1.0,0.0,3,34,0
274,4,2,0.0,0.0,3,35,0
275,3,1,0.0,1.0,3,36,0
276,2,1,0.0,0.0,3,37,1
277,1,3,1.0,0.0,3,38,0
278,3,4,1.0,0.0,3,39,0
279,1,3,0.0,1.0,3,40,1
280,3,1,0.0,1.0,3,41,0
281,2,1,0.0,1.0,3,42,1
282,3,2,1.0,0.0,3,43,0
283,3,2,0.0,0.0,3,44,0
284,4,1,0.0,1.0,3,45,1
285,4,2,0.0,1.0,3,46,1
286,2,4,0.0,0.0,3,47,0
287,1,4,0.0,0.0,3,48,1
288,4,1,1.0,1.0,3,49,1
289,3,1,1.0,1.0,3,50,1
290,2,4,0.0,0.0,3,51,0
291,3,4,0.0,0.0,3,52,0
292,1,2,1.0,1.0,3,53,0
293,4,3,0.0,0.0,3,54,0
294,3,2,0.0,0.0,3,55,0
295,2,4,0.0,0.0,3,56,0
296,4,2,0.0,1.0,3,57,1
297,1,4,1.0,0.0,3,58,0
298,3,2,1.0,1.0,3,59,0
299,3,4,1.0,0.0,3,60,0
300,2,4,0.0,0.0,3,61,0
301,4,1,0.0,0.0,3,62,1
302,2,1,0.0,1.0,3,63,1
303,4,1,1.0,1.0,3,64,1
304,2,3,0.0,1.0,3,65,1
305,2,3,0.0,1.0,3,66,1
306,1,3,1.0,0.0,3,67,0
307,2,3,0.0,0.0,3,68,1
308,3,1,1.0,1.0,3,69,1
309,2,4,0.0,0.0,3,70,1
310,4,3,0.0,0.0,3,71,1
311,1,4,0.0,1.0,3,72,1
312,3,4,0.0,0.0,3,73,0
313,1,4,1.0,0.0,3,74,0
314,1,2,1.0,0.0,3,75,0
315,3,4,1.0,0.0,3,76,0
316,1,2,1.0,0.0,3,77,0
317,2,3,0.0,1.0,3,78,0
318,2,4,0.0,0.0,3,79,0
319,2,1,0.0,1.0,3,80,1
320,3,1,0.0,1.0,3,81,1
321,2,3,0.0,0.0,3,82,1
322,4,2,0.0,1.0,3,83,0
323,1,4,1.0,0.0,3,84,0
324,3,1,1.0,1.0,3,85,1
325,1,3,0.0,1.0,3,86,1
326,2,1,0.0,0.0,3,87,1
327,2,1,0.0,1.0,3,88,1
328,4,1,0.0,0.0,3,89,0
329,4,3,0.0,1.0,3,90,0
330,3,4,0.0,0.0,3,91,0
331,1,2,1.0,0.0,3,92,0
332,2,3,0.0,0.0,3,93,1
333,4,1,0.0,1.0,3,94,1
334,1,3,1.0,0.0,3,95,0
335,2,4,0.0,0.0,3,96,0
336,3,4,0.0,0.0,3,97,0
337,3,2,0.0,0.0,3,98,0
338,3,2,1.0,1.0,3,99,0
339,4,3,0.0,1.0,3,100,1
340,3,2,1.0,1.0,3,101,0
341,1,3,1.0,1.0,3,102,0
342,1,3,1.0,0.0,3,103,0
343,4,3,0.0,1.0,3,104,1
344,2,3,0.0,0.0,3,105,0
345,3,2,1.0,1.0,3,106,0
346,3,4,0.0,0.0,3,107,0
347,3,1,0.0,0.0,3,108,1
348,1,2,1.0,1.0,3,109,0
349,4,1,0.0,1.0,3,110,1
350,4,3,0.0,1.0,3,111,1
351,4,2,0.0,0.0,3,112,0
352,2,3,0.0,1.0,3,113,1
353,4,3,0.0,1.0,3,114,1
354,1,4,1.0,1.0,3,115,0
355,1,4,0.0,1.0,3,116,0
356,1,4,0.0,0.0,3,117,0
357,1,3,1.0,0.0,3,118,0
358,2,1,0.0,1.0,3,119,1
359,1,4,1.0,1.0,3,120,0
360,4,3,0.0,0.0,4,1,0
361,3,4,0.0,0.0,4,2,0
362,2,1,0.0,1.0,4,3,1
363,2,3,0.0,1.0,4,4,1
364,4,1,0.0,0.0,4,5,1
365,4,3,0.0,0.0,4,6,1
366,3,1,1.0,1.0,4,7,0
367,3,1,0.0,1.0,4,8,1
368,3,4,1.0,0.0,4,9,1
369,3,1,0.0,0.0,4,10,1
370,3,1,0.0,0.0,4,11,0
371,4,3,0.0,1.0,4,12,1
372,2,4,0.0,0.0,4,13,1
373,2,3,0.0,0.0,4,14,0
374,4,1,0.0,1.0,4,15,1
375,1,3,1.0,0.0,4,16,1
376,4,3,0.0,1.0,4,17,1
377,3,2,0.0,0.0,4,18,0
378,1,4,1.0,0.0,4,19,0
379,2,4,0.0,0.0,4,20,0
380,2,4,0.0,0.0,4,21,1
381,2,3,0.0,0.0,4,22,1
382,3,1,0.0,1.0,4,23,0
383,3,2,1.0,1.0,4,24,0
384,2,3,0.0,1.0,4,25,1
385,4,2,0.0,1.0,4,26,1
386,3,2,0.0,0.0,4,27,0
387,3,4,0.0,0.0,4,28,0
388,2,1,0.0,1.0,4,29,1
389,4,2,0.0,0.0,4,30,0
390,3,2,1.0,0.0,4,31,0
391,3,2,0.0,0.0,4,32,1
392,3,1,0.0,1.0,4,33,1
393,2,3,0.0,0.0,4,34,1
394,1,3,1.0,0.0,4,35,0
395,1,4,1.0,0.0,4,36,0
396,4,1,0.0,1.0,4,37,0
397,1,4,0.0,1.0,4,38,1
398,3,1,1.0,1.0,4,39,1
399,1,4,1.0,0.0,4,40,0
400,3,4,0.0,0.0,4,41,0
401,3,2,1.0,1.0,4,42,0
402,1,4,0.0,0.0,4,43,0
403,1,4,0.0,1.0,4,44,1
404,1,3,1.0,0.0,4,45,1
405,4,2,0.0,1.0,4,46,1
406,1,2,1.0,1.0,4,47,0
407,2,4,0.0,0.0,4,48,0
408,2,1,0.0,1.0,4,49,1
409,4,2,0.0,0.0,4,50,1
410,1,2,1.0,0.0,4,51,0
411,2,1,0.0,1.0,4,52,0
412,3,1,1.0,1.0,4,53,1
413,2,3,0.0,1.0,4,54,1
414,1,2,1.0,1.0,4,55,0
415,4,1,1.0,1.0,4,56,1
416,2,3,0.0,0.0,4,57,0
417,1,2,1.0,1.0,4,58,0
418,1,4,1.0,1.0,4,59,0
419,1,4,0.0,0.0,4,60,0
420,2,3,0.0,1.0,4,61,1
421,2,4,0.0,0.0,4,62,0
422,3,2,1.0,1.0,4,63,0
423,3,4,1.0,0.0,4,64,0
424,3,4,0.0,0.0,4,65,0
425,2,1,0.0,1.0,4,66,1
426,2,1,0.0,1.0,4,67,1
427,4,3,0.0,1.0,4,68,1
428,1,3,1.0,1.0,4,69,0
429,3,4,0.0,0.0,4,70,1
430,2,4,0.0,0.0,4,71,1
431,4,2,0.0,0.0,4,72,1
432,1,3,0.0,1.0,4,73,0
433,2,1,0.0,0.0,4,74,1
434,4,1,0.0,1.0,4,75,1
435,2,1,0.0,1.0,4,76,1
436,3,2,1.0,1.0,4,77,1
437,4,1,1.0,1.0,4,78,1
438,4,1,0.0,1.0,4,79,1
439,1,2,1.0,0.0,4,80,0
440,4,3,0.0,1.0,4,81,0
441,1,4,1.0,1.0,4,82,0
442,4,2,0.0,0.0,4,83,0
443,1,3,0.0,1.0,4,84,0
444,4,3,0.0,0.0,4,85,0
445,2,4,0.0,0.0,4,86,1
446,3,4,1.0,0.0,4,87,0
447,3,4,1.0,0.0,4,88,0
448,1,3,1.0,0.0,4,89,0
449,4,2,0.0,0.0,4,90,1
450,4,3,0.0,0.0,4,91,1
451,2,3,0.0,1.0,4,92,1
452,3,1,0.0,1.0,4,93,1
453,1,2,1.0,0.0,4,94,0
454,1,3,1.0,0.0,4,95,0
455,3,4,0.0,0.0,4,96,0
456,4,1,0.0,1.0,4,97,1
457,2,1,0.0,1.0,4,98,1
458,2,3,0.0,1.0,4,99,1
459,1,4,1.0,0.0,4,100,0
460,1,2,1.0,0.0,4,101,0
461,4,2,0.0,0.0,4,102,1
462,4,3,0.0,1.0,4,103,1
463,1,2,1.0,0.0,4,104,0
464,2,4,0.0,0.0,4,105,0
465,4,3,0.0,1.0,4,106,1
466,2,1,0.0,0.0,4,107,1
467,2,4,0.0,0.0,4,108,0
468,1,2,1.0,0.0,4,109,0
469,1,2,1.0,1.0,4,110,0
470,4,1,0.0,1.0,4,111,1
471,4,2,0.0,1.0,4,112,0
472,1,3,1.0,1.0,4,113,0
473,3,2,0.0,0.0,4,114,0
474,3,2,1.0,0.0,4,115,0
475,4,2,0.0,1.0,4,116,0
476,4,1,0.0,0.0,4,117,1
477,3,1,1.0,1.0,4,118,1
478,2,4,0.0,0.0,4,119,1
479,1,3,1.0,0.0,4,120,0
480,2,4,0.0,0.0,5,1,1
481,2,1,0.0,1.0,5,2,0
482,4,1,1.0,1.0,5,3,1
483,4,3,0.0,1.0,5,4,1
484,1,4,0.0,1.0,5,5,0
485,3,2,0.0,0.0,5,6,0
486,1,3,1.0,0.0,5,7,1
487,1,4,1.0,1.0,5,8,0
488,1,3,0.0,1.0,5,9,0
489,2,3,0.0,0.0,5,10,1
490,4,2,0.0,0.0,5,11,0
491,1,4,1.0,0.0,5,12,0
492,3,2,1.0,1.0,5,13,1
493,1,3,1.0,0.0,5,14,0
494,4,2,0.0,0.0,5,15,1
495,2,1,0.0,1.0,5,16,1
496,2,1,0.0,1.0,5,17,1
497,2,4,0.0,0.0,5,18,0
498,1,3,1.0,0.0,5,19,0
499,3,4,0.0,0.0,5,20,1
500,1,4,1.0,0.0,5,21,0
501,4,1,1.0,1.0,5,22,1
502,2,3,0.0,1.0,5,23,1
503,4,2,0.0,0.0,5,24,1
504,3,4,1.0,0.0,5,25,0
505,4,2,0.0,1.0,5,26,0
506,1,2,1.0,0.0,5,27,0
507,3,2,1.0,0.0,5,28,0
508,3,4,0.0,0.0,5,29,0
509,4,1,0.0,1.0,5,30,1
510,1,2,1.0,0.0,5,31,0
511,1,2,1.0,0.0,5,32,0
512,3,2,1.0,0.0,5,33,0
513,1,4,1.0,0.0,5,34,0
514,3,4,1.0,0.0,5,35,0
515,3,4,1.0,0.0,5,36,0
516,2,3,0.0,0.0,5,37,1
517,4,1,0.0,1.0,5,38,1
518,1,4,0.0,0.0,5,39,0
519,3,1,0.0,1.0,5,40,0
520,1,3,1.0,1.0,5,41,0
521,3,4,0.0,0.0,5,42,0
522,2,3,0.0,1.0,5,43,0
523,4,2,0.0,1.0,5,44,1
524,3,1,1.0,1.0,5,45,1
525,4,3,0.0,1.0,5,46,0
526,1,3,1.0,0.0,5,47,0
527,2,4,0.0,0.0,5,48,0
528,2,1,0.0,0.0,5,49,1
529,1,2,1.0,0.0,5,50,1
530,4,3,0.0,0.0,5,51,0
531,2,4,0.0,0.0,5,52,0
532,3,1,0.0,1.0,5,53,1
533,2,3,0.0,0.0,5,54,0
534,3,1,0.0,1.0,5,55,1
535,1,2,1.0,0.0,5,56,0
536,2,4,0.0,0.0,5,57,1
537,3,1,0.0,1.0,5,58,1
538,3,1,1.0,1.0,5,59,0
539,1,4,0.0,1.0,5,60,0
540,1,3,1.0,0.0,5,61,1
541,4,1,0.0,0.0,5,62,1
542,4,2,0.0,0.0,5,63,1
543,4,1,0.0,1.0,5,64,1
544,1,3,1.0,0.0,5,65,0
545,4,2,0.0,0.0,5,66,1
546,2,1,0.0,1.0,5,67,1
547,3,4,1.0,0.0,5,68,0
548,4,1,0.0,0.0,5,69,1
549,4,1,0.0,1.0,5,70,1
550,3,1,1.0,1.0,5,71,0
551,1,4,0.0,0.0,5,72,0
552,2,4,0.0,0.0,5,73,0
553,3,2,1.0,1.0,5,74,0
554,3,2,0.0,0.0,5,75,0
555,4,3,0.0,0.0,5,76,1
556,2,1,0.0,1.0,5,77,1
557,2,4,0.0,0.0,5,78,0
558,3,2,0.0,0.0,5,79,1
559,4,2,0.0,1.0,5,80,1
560,2,1,0.0,1.0,5,81,0
561,3,1,1.0,1.0,5,82,1
562,3,4,0.0,0.0,5,83,1
563,4,3,0.0,1.0,5,84,1
564,1,2,1.0,1.0,5,85,0
565,4,3,0.0,1.0,5,86,1
566,1,2,1.0,1.0,5,87,0
567,1,4,1.0,1.0,5,88,0
568,4,2,0.0,0.0,5,89,0
569,2,1,0.0,1.0,5,90,1
570,2,4,0.0,0.0,5,91,0
571,4,2,0.0,1.0,5,92,0
572,4,1,0.0,1.0,5,93,1
573,1,3,1.0,1.0,5,94,1
574,2,4,0.0,0.0,5,95,0
575,2,3,0.0,1.0,5,96,1
576,4,3,0.0,1.0,5,97,1
577,2,3,0.0,1.0,5,98,1
578,1,2,1.0,1.0,5,99,0
579,2,3,0.0,1.0,5,100,1
580,4,3,0.0,1.0,5,101,1
581,4,3,0.0,0.0,5,102,1
582,2,1,0.0,1.0,5,103,1
583,2,3,0.0,0.0,5,104,1
584,3,4,0.0,0.0,5,105,1
585,2,4,0.0,0.0,5,106,0
586,2,1,0.0,0.0,5,107,1
587,1,2,1.0,0.0,5,108,0
588,1,3,0.0,1.0,5,109,0
589,1,4,1.0,0.0,5,110,0
590,3,4,0.0,0.0,5,111,1
591,3,1,0.0,0.0,5,112,1
592,2,3,0.0,1.0,5,113,0
593,3,1,0.0,0.0,5,114,1
594,1,2,1.0,1.0,5,115,0
595,4,1,0.0,1.0,5,116,1
596,3,2,1.0,1.0,5,117,0
597,3,2,0.0,0.0,5,118,0
598,3,2,1.0,1.0,5,119,0
599,4,3,0.0,0.0,5,120,1
600,2,1,0.0,1.0,6,1,1
601,3,2,0.0,0.0,6,2,0
602,4,2,0.0,0.0,6,3,1
603,1,2,1.0,0.0,6,4,1
604,1,4,1.0,0.0,6,5,1
605,2,4,0.0,0.0,6,6,1
606,3,1,0.0,0.0,6,7,0
607,3,1,0.0,1.0,6,8,1
608,2,3,0.0,0.0,6,9,1
609,3,1,1.0,1.0,6,10,1
610,3,1,1.0,1.0,6,11,1
611,4,1,0.0,1.0,6,12,1
612,3,1,0.0,1.0,6,13,1
613,2,1,0.0,1.0,6,14,1
614,4,2,0.0,0.0,6,15,1
615,1,3,1.0,0.0,6,16,0
616,4,3,0.0,1.0,6,17,0
617,1,4,1.0,0.0,6,18,0
618,2,1,0.0,0.0,6,19,1
619,1,2,1.0,1.0,6,20,0
620,3,1,0.0,0.0,6,21,1
621,3,4,0.0,0.0,6,22,0
622,4,1,0.0,0.0,6,23,1
623,2,4,0.0,0.0,6,24,1
624,3,2,1.0,1.0,6,25,0
625,3,2,1.0,0.0,6,26,0
626,4,2,0.0,1.0,6,27,0
627,2,1,0.0,1.0,6,28,1
628,1,4,0.0,1.0,6,29,0
629,1,2,1.0,1.0,6,30,1
630,2,3,0.0,0.0,6,31,1
631,4,2,0.0,1.0,6,32,1
632,2,3,0.0,1.0,6,33,0
633,1,2,1.0,0.0,6,34,0
634,4,3,0.0,1.0,6,35,1
635,3,4,0.0,0.0,6,36,0
636,4,3,0.0,0.0,6,37,1
637,1,4,1.0,0.0,6,38,1
638,4,1,1.0,1.0,6,39,1
639,2,3,0.0,0.0,6,40,1
640,1,3,1.0,0.0,6,41,0
641,1,4,1.0,0.0,6,42,0
642,4,2,0.0,1.0,6,43,0
643,3,1,1.0,1.0,6,44,0
644,4,1,0.0,1.0,6,45,1
645,4,2,0.0,0.0,6,46,1
646,2,3,0.0,0.0,6,47,0
647,3,4,0.0,0.0,6,48,0
648,4,1,0.0,1.0,6,49,1
649,4,3,0.0,1.0,6,50,1
650,1,3,0.0,1.0,6,51,0
651,3,2,0.0,0.0,6,52,0
652,1,3,1.0,0.0,6,53,1
653,3,2,0.0,0.0,6,54,0
654,1,3,1.0,1.0,6,55,0
655,2,1,0.0,1.0,6,56,1
656,2,3,0.0,1.0,6,57,0
657,1,3,1.0,0.0,6,58,0
658,1,2,1.0,0.0,6,59,0
659,2,4,0.0,0.0,6,60,1
660,3,1,0.0,1.0,6,61,1
661,4,1,0.0,1.0,6,62,1
662,3,4,1.0,0.0,6,63,0
663,3,4,0.0,0.0,6,64,1
664,2,3,0.0,1.0,6,65,0
665,4,3,0.0,1.0,6,66,1
666,4,3,0.0,0.0,6,67,1
667,2,3,0.0,1.0,6,68,1
668,4,3,0.0,0.0,6,69,1
669,1,3,1.0,1.0,6,70,0
670,1,3,1.0,0.0,6,71,0
671,1,4,0.0,0.0,6,72,0
672,4,2,0.0,0.0,6,73,0
673,4,3,0.0,1.0,6,74,1
674,3,4,0.0,0.0,6,75,1
675,2,4,0.0,0.0,6,76,0
676,1,4,1.0,1.0,6,77,0
677,3,4,1.0,0.0,6,78,0
678,3,1,1.0,1.0,6,79,1
679,3,4,0.0,0.0,6,80,1
680,3,2,1.0,1.0,6,81,1
681,2,4,0.0,0.0,6,82,1
682,3,1,0.0,1.0,6,83,1
683,3,2,1.0,1.0,6,84,0
684,4,1,0.0,1.0,6,85,1
685,2,1,0.0,0.0,6,86,1
686,1,2,1.0,0.0,6,87,0
687,1,2,1.0,1.0,6,88,1
688,2,4,0.0,0.0,6,89,0
689,1,3,1.0,0.0,6,90,0
690,4,3,0.0,1.0,6,91,1
691,1,4,0.0,1.0,6,92,0
692,3,2,1.0,1.0,6,93,0
693,1,3,0.0,1.0,6,94,1
694,2,1,0.0,1.0,6,95,1
