,stimulus_left,stimulus_right,reward_left,reward_right,ppt,trial,responses
326,2,1,0.0,0.0,3,87,0
327,2,1,0.0,1.0,3,88,0
328,4,1,0.0,0.0,3,89,0
329,4,3,0.0,1.0,3,90,1
330,3,4,0.0,0.0,3,91,0
331,1,2,1.0,0.0,3,92,1
332,2,3,0.0,0.0,3,93,0
333,4,1,0.0,1.0,3,94,0
334,1,3,1.0,0.0,3,95,1
335,2,4,0.0,0.0,3,96,1
336,3,4,0.0,0.0,3,97,0
337,3,2,0.0,0.0,3,98,1
338,3,2,1.0,1.0,3,99,1
339,4,3,0.0,1.0,3,100,0
340,3,2,1.0,1.0,3,101,1
341,1,3,1.0,1.0,3,102,0
342,1,3,1.0,0.0,3,103,1
343,4,3,0.0,1.0,3,104,0
344,2,3,0.0,0.0,3,105,0
345,3,2,1.0,1.0,3,106,1
346,3,4,0.0,0.0,3,107,0
347,3,1,0.0,0.0,3,108,1
348,1,2,1.0,1.0,3,109,0
349,4,1,0.0,1.0,3,110,0
350,4,3,0.0,1.0,3,111,1
351,4,2,0.0,0.0,3,112,1
352,2,3,0.0,1.0,3,113,1
353,4,3,0.0,1.0,3,114,1
354,1,4,1.0,1.0,3,115,0
355,1,4,0.0,1.0,3,116,0
356,1,4,0.0,0.0,3,117,0
357,1,3,1.0,0.0,3,118,1
358,2,1,0.0,1.0,3,119,0
359,1,4,1.0,1.0,3,120,1
360,4,3,0.0,0.0,4,1,0
361,3,4,0.0,0.0,4,2,0
362,2,1,0.0,1.0,4,3,1
363,2,3,0.0,1.0,4,4,0
364,4,1,0.0,0.0,4,5,1
365,4,3,0.0,0.0,4,6,0
366,3,1,1.0,1.0,4,7,1
367,3,1,0.0,1.0,4,8,1
368,3,4,1.0,0.0,4,9,1
369,3,1,0.0,0.0,4,10,0
370,3,1,0.0,0.0,4,11,1
371,4,3,0.0,1.0,4,12,0
372,2,4,0.0,0.0,4,13,0
373,2,3,0.0,0.0,4,14,1
374,4,1,0.0,1.0,4,15,0
375,1,3,1.0,0.0,4,16,1
376,4,3,0.0,1.0,4,17,0
377,3,2,0.0,0.0,4,18,1
378,1,4,1.0,0.0,4,19,0
379,2,4,0.0,0.0,4,20,0
380,2,4,0.0,0.0,4,21,0
381,2,3,0.0,0.0,4,22,0
382,3,1,0.0,1.0,4,23,0
383,3,2,1.0,1.0,4,24,0
384,2,3,0.0,1.0,4,25,0
385,4,2,0.0,1.0,4,26,1
386,3,2,0.0,0.0,4,27,0
387,3,4,0.0,0.0,4,28,0
388,2,1,0.0,1.0,4,29,0
389,4,2,0.0,0.0,4,30,1
390,3,2,1.0,0.0,4,31,0
391,3,2,0.0,0.0,4,32,1
392,3,1,0.0,1.0,4,33,1
393,2,3,0.0,0.0,4,34,1
394,1,3,1.0,0.0,4,35,0
395,1,4,1.0,0.0,4,36,1
396,4,1,0.0,1.0,4,37,1
397,1,4,0.0,1.0,4,38,1
398,3,1,1.0,1.0,4,39,1
399,1,4,1.0,0.0,4,40,1
400,3,4,0.0,0.0,4,41,1
401,3,2,1.0,1.0,4,42,1
402,1,4,0.0,0.0,4,43,1
403,1,4,0.0,1.0,4,44,0
404,1,3,1.0,0.0,4,45,0
405,4,2,0.0,1.0,4,46,0
406,1,2,1.0,1.0,4,47,0
407,2,4,0.0,0.0,4,48,1
408,2,1,0.0,1.0,4,49,1
409,4,2,0.0,0.0,4,50,0
410,1,2,1.0,0.0,4,51,1
411,2,1,0.0,1.0,4,52,1
412,3,1,1.0,1.0,4,53,0
413,2,3,0.0,1.0,4,54,0
414,1,2,1.0,1.0,4,55,0
415,4,1,1.0,1.0,4,56,1
416,2,3,0.0,0.0,4,57,1
417,1,2,1.0,1.0,4,58,0
418,1,4,1.0,1.0,4,59,1
419,1,4,0.0,0.0,4,60,0
420,2,3,0.0,1.0,4,61,1
421,2,4,0.0,0.0,4,62,0
422,3,2,1.0,1.0,4,63,0
423,3,4,1.0,0.0,4,64,0
424,3,4,0.0,0.0,4,65,0
425,2,1,0.0,1.0,4,66,0
426,2,1,0.0,1.0,4,67,0
427,4,3,0.0,1.0,4,68,1
428,1,3,1.0,1.0,4,69,1
429,3,4,0.0,0.0,4,70,1
430,2,4,0.0,0.0,4,71,0
431,4,2,0.0,0.0,4,72,1
432,1,3,0.0,1.0,4,73,0
433,2,1,0.0,0.0,4,74,1
434,4,1,0.0,1.0,4,75,1
435,2,1,0.0,1.0,4,76,1
436,3,2,1.0,1.0,4,77,1
437,4,1,1.0,1.0,4,78,0
438,4,1,0.0,1.0,4,79,1
439,1,2,1.0,0.0,4,80,1
440,4,3,0.0,1.0,4,81,1
441,1,4,1.0,1.0,4,82,0
442,4,2,0.0,0.0,4,83,0
443,1,3,0.0,1.0,4,84,0
444,4,3,0.0,0.0,4,85,1
445,2,4,0.0,0.0,4,86,0
446,3,4,1.0,0.0,4,87,1
447,3,4,1.0,0.0,4,88,1
448,1,3,1.0,0.0,4,89,1
449,4,2,0.0,0.0,4,90,0
450,4,3,0.0,0.0,4,91,1
451,2,3,0.0,1.0,4,92,1
452,3,1,0.0,1.0,4,93,0
453,1,2,1.0,0.0,4,94,0
454,1,3,1.0,0.0,4,95,1
455,3,4,0.0,0.0,4,96,1
456,4,1,0.0,1.0,4,97,0
457,2,1,0.0,1.0,4,98,1
458,2,3,0.0,1.0,4,99,1
459,1,4,1.0,0.0,4,100,0
460,1,2,1.0,0.0,4,101,0
461,4,2,0.0,0.0,4,102,1
462,4,3,0.0,1.0,4,103,0
463,1,2,1.0,0.0,4,104,0
464,2,4,0.0,0.0,4,105,0
465,4,3,0.0,1.0,4,106,1
466,2,1,0.0,0.0,4,107,1
467,2,4,0.0,0.0,4,108,1
468,1,2,1.0,0.0,4,109,0
469,1,2,1.0,1.0,4,110,0
470,4,1,0.0,1.0,4,111,0
471,4,2,0.0,1.0,4,112,0
472,1,3,1.0,1.0,4,113,1
473,3,2,0.0,0.0,4,114,0
474,3,2,1.0,0.0,4,115,0
475,4,2,0.0,1.0,4,116,1
476,4,1,0.0,0.0,4,117,0
477,3,1,1.0,1.0,4,118,0
478,2,4,0.0,0.0,4,119,1
479,1,3,1.0,0.0,4,120,0
480,2,4,0.0,0.0,5,1,1
481,2,1,0.0,1.0,5,2,0
482,4,1,1.0,1.0,5,3,1
483,4,3,0.0,1.0,5,4,0
484,1,4,0.0,1.0,5,5,0
485,3,2,0.0,0.0,5,6,1
486,1,3,1.0,0.0,5,7,1
487,1,4,1.0,1.0,5,8,1
488,1,3,0.0,1.0,5,9,1
489,2,3,0.0,0.0,5,10,0
490,4,2,0.0,0.0,5,11,0
491,1,4,1.0,0.0,5,12,0
492,3,2,1.0,1.0,5,13,1
493,1,3,1.0,0.0,5,14,0
494,4,2,0.0,0.0,5,15,0
495,2,1,0.0,1.0,5,16,0
496,2,1,0.0,1.0,5,17,0
497,2,4,0.0,0.0,5,18,0
498,1,3,1.0,0.0,5,19,1
499,3,4,0.0,0.0,5,20,1
500,1,4,1.0,0.0,5,21,0
501,4,1,1.0,1.0,5,22,0
502,2,3,0.0,1.0,5,23,1
503,4,2,0.0,0.0,5,24,1
504,3,4,1.0,0.0,5,25,0
505,4,2,0.0,1.0,5,26,0
506,1,2,1.0,0.0,5,27,1
507,3,2,1.0,0.0,5,28,1
508,3,4,0.0,0.0,5,29,1
509,4,1,0.0,1.0,5,30,1
510,1,2,1.0,0.0,5,31,1
511,1,2,1.0,0.0,5,32,0
512,3,2,1.0,0.0,5,33,1
513,1,4,1.0,0.0,5,34,1
514,3,4,1.0,0.0,5,35,0
515,3,4,1.0,0.0,5,36,1
516,2,3,0.0,0.0,5,37,0
517,4,1,0.0,1.0,5,38,1
518,1,4,0.0,0.0,5,39,0
519,3,1,0.0,1.0,5,40,1
520,1,3,1.0,1.0,5,41,1
521,3,4,0.0,0.0,5,42,0
522,2,3,0.0,1.0,5,43,0
523,4,2,0.0,1.0,5,44,1
524,3,1,1.0,1.0,5,45,0
525,4,3,0.0,1.0,5,46,1
526,1,3,1.0,0.0,5,47,1
527,2,4,0.0,0.0,5,48,0
528,2,1,0.0,0.0,5,49,1
529,1,2,1.0,0.0,5,50,1
530,4,3,0.0,0.0,5,51,1
531,2,4,0.0,0.0,5,52,1
532,3,1,0.0,1.0,5,53,1
533,2,3,0.0,0.0,5,54,0
534,3,1,0.0,1.0,5,55,0
535,1,2,1.0,0.0,5,56,1
536,2,4,0.0,0.0,5,57,0
537,3,1,0.0,1.0,5,58,1
538,3,1,1.0,1.0,5,59,1
539,1,4,0.0,1.0,5,60,1
540,1,3,1.0,0.0,5,61,1
541,4,1,0.0,0.0,5,62,1
542,4,2,0.0,0.0,5,63,0
543,4,1,0.0,1.0,5,64,1
544,1,3,1.0,0.0,5,65,1
545,4,2,0.0,0.0,5,66,0
546,2,1,0.0,1.0,5,67,0
547,3,4,1.0,0.0,5,68,1
548,4,1,0.0,0.0,5,69,1
549,4,1,0.0,1.0,5,70,1
550,3,1,1.0,1.0,5,71,1
551,1,4,0.0,0.0,5,72,0
552,2,4,0.0,0.0,5,73,1
553,3,2,1.0,1.0,5,74,0
554,3,2,0.0,0.0,5,75,1
555,4,3,0.0,0.0,5,76,0
556,2,1,0.0,1.0,5,77,1
557,2,4,0.0,0.0,5,78,0
558,3,2,0.0,0.0,5,79,1
559,4,2,0.0,1.0,5,80,0
560,2,1,0.0,1.0,5,81,1
561,3,1,1.0,1.0,5,82,1
562,3,4,0.0,0.0,5,83,0
563,4,3,0.0,1.0,5,84,1
564,1,2,1.0,1.0,5,85,1
565,4,3,0.0,1.0,5,86,1
566,1,2,1.0,1.0,5,87,0
567,1,4,1.0,1.0,5,88,0
568,4,2,0.0,0.0,5,89,1
569,2,1,0.0,1.0,5,90,1
570,2,4,0.0,0.0,5,91,1
571,4,2,0.0,1.0,5,92,0
572,4,1,0.0,1.0,5,93,1
573,1,3,1.0,1.0,5,94,0
574,2,4,0.0,0.0,5,95,0
575,2,3,0.0,1.0,5,96,1
576,4,3,0.0,1.0,5,97,0
577,2,3,0.0,1.0,5,98,0
578,1,2,1.0,1.0,5,99,1
579,2,3,0.0,1.0,5,100,0
580,4,3,0.0,1.0,5,101,0
581,4,3,0.0,0.0,5,102,1
582,2,1,0.0,1.0,5,103,1
583,2,3,0.0,0.0,5,104,1
584,3,4,0.0,0.0,5,105,1
585,2,4,0.0,0.0,5,106,1
586,2,1,0.0,0.0,5,107,0
587,1,2,1.0,0.0,5,108,1
588,1,3,0.0,1.0,5,109,0
589,1,4,1.0,0.0,5,110,0
590,3,4,0.0,0.0,5,111,0
591,3,1,0.0,0.0,5,112,1
592,2,3,0.0,1.0,5,113,0
593,3,1,0.0,0.0,5,114,0
594,1,2,1.0,1.0,5,115,0
595,4,1,0.0,1.0,5,116,1
596,3,2,1.0,1.0,5,117,0
597,3,2,0.0,0.0,5,118,1
598,3,2,1.0,1.0,5,119,1
599,4,3,0.0,0.0,5,120,1
600,2,1,0.0,1.0,6,1,0
601,3,2,0.0,0.0,6,2,1
602,4,2,0.0,0.0,6,3,1
603,1,2,1.0,0.0,6,4,1
604,1,4,1.0,0.0,6,5,0
605,2,4,0.0,0.0,6,6,0
606,3,1,0.0,0.0,6,7,1
607,3,1,0.0,1.0,6,8,1
608,2,3,0.0,0.0,6,9,0
609,3,1,1.0,1.0,6,10,0
610,3,1,1.0,1.0,6,11,1
611,4,1,0.0,1.0,6,12,1
612,3,1,0.0,1.0,6,13,0
613,2,1,0.0,1.0,6,14,1
614,4,2,0.0,0.0,6,15,0
615,1,3,1.0,0.0,6,16,0
616,4,3,0.0,1.0,6,17,0
617,1,4,1.0,0.0,6,18,1
618,2,1,0.0,0.0,6,19,1
619,1,2,1.0,1.0,6,20,1
620,3,1,0.0,0.0,6,21,0
621,3,4,0.0,0.0,6,22,0
622,4,1,0.0,0.0,6,23,0
623,2,4,0.0,0.0,6,24,1
624,3,2,1.0,1.0,6,25,0
625,3,2,1.0,0.0,6,26,0
626,4,2,0.0,1.0,6,27,1
627,2,1,0.0,1.0,6,28,1
628,1,4,0.0,1.0,6,29,1
629,1,2,1.0,1.0,6,30,1
630,2,3,0.0,0.0,6,31,1
631,4,2,0.0,1.0,6,32,0
632,2,3,0.0,1.0,6,33,1
633,1,2,1.0,0.0,6,34,0
634,4,3,0.0,1.0,6,35,1
635,3,4,0.0,0.0,6,36,1
636,4,3,0.0,0.0,6,37,0
637,1,4,1.0,0.0,6,38,1
638,4,1,1.0,1.0,6,39,0
639,2,3,0.0,0.0,6,40,1
640,1,3,1.0,0.0,6,41,1
641,1,4,1.0,0.0,6,42,1
642,4,2,0.0,1.0,6,43,0
643,3,1,1.0,1.0,6,44,1
644,4,1,0.0,1.0,6,45,0
645,4,2,0.0,0.0,6,46,1
646,2,3,0.0,0.0,6,47,0
647,3,4,0.0,0.0,6,48,0
648,4,1,0.0,1.0,6,49,0
649,4,3,0.0,1.0,6,50,0
650,1,3,0.0,1.0,6,51,0
651,3,2,0.0,0.0,6,52,0
652,1,3,1.0,0.0,6,53,0
653,3,2,0.0,0.0,6,54,0
654,1,3,1.0,1.0,6,55,0
655,2,1,0.0,1.0,6,56,1
656,2,3,0.0,1.0,6,57,1
657,1,3,1.0,0.0,6,58,1
658,1,2,1.0,0.0,6,59,1
659,2,4,0.0,0.0,6,60,0
660,3,1,0.0,1.0,6,61,0
661,4,1,0.0,1.0,6,62,1
662,3,4,1.0,0.0,6,63,1
663,3,4,0.0,0.0,6,64,1
664,2,3,0.0,1.0,6,65,1
665,4,3,0.0,1.0,6,66,1
666,4,3,0.0,0.0,6,67,0
667,2,3,0.0,1.0,6,68,0
668,4,3,0.0,0.0,6,69,1
669,1,3,1.0,1.0,6,70,0
670,1,3,1.0,0.0,6,71,0
671,1,4,0.0,0.0,6,72,1
672,4,2,0.0,0.0,6,73,0
673,4,3,0.0,1.0,6,74,1
674,3,4,0.0,0.0,6,75,0
675,2,4,0.0,0.0,6,76,0
676,1,4,1.0,1.0,6,77,0
677,3,4,1.0,0.0,6,78,0
678,3,1,1.0,1.0,6,79,0
679,3,4,0.0,0.0,6,80,0
680,3,2,1.0,1.0,6,81,1
681,2,4,0.0,0.0,6,82,0
682,3,1,0.0,1.0,6,83,0
683,3,2,1.0,1.0,6,84,1
684,4,1,0.0,1.0,6,85,0
685,2,1,0.0,0.0,6,86,0
686,1,2,1.0,0.0,6,87,0
687,1,2,1.0,1.0,6,88,0
688,2,4,0.0,0.0,6,89,1
689,1,3,1.0,0.0,6,90,0
690,4,3,0.0,1.0,6,91,1
691,1,4,0.0,1.0,6,92,1
692,3,2,1.0,1.0,6,93,0
693,1,3,0.0,1.0,6,94,1
694,2,1,0.0,1.0,6,95,1
695,2,4,0.0,0.0,6,96,0
